Name,Team,HR,R,RBI,AVG,WAR
Jose Altuve,Astros,13,84,61,0.316,4.9
Aaron Hicks,Yankees,27,90,79,0.248,4.9
Xander Bogaerts,Red Sox,23,72,103,0.288,4.9
Trea Turner,Nationals,19,103,73,0.271,4.8
J.T. Realmuto,Marlins,21,74,74,0.277,4.8
